Restaurant Name,Item Name,Category,Price,Timing,Mobile No
Vali Biriyani,Chicken Biriyani,Main Course,100,11:00 AM - 5:00 PM,7330947909
Vali Biriyani,Kichidi,Main Course,50,11:00 AM - 5:00 PM,7330947909
Annapurna Meals,Meals,Main Course,60,11:30 AM - 2:00 PM,7330947909
Annapurna Meals,Meals,Main Course,80,11:30 AM - 2:00 PM,7330947909
Annapurna Meals,Meals,Main Course,120,11:30 AM - 2:00 PM,7330947909
Annapurna Meals,Pappu,Curry,20,11:30 AM - 2:00 PM,7330947909
Annapurna Meals,Sambar,Curry,20,11:30 AM - 2:00 PM,7330947909
Annapurna Meals,Rasam,Curry,20,11:30 AM - 2:00 PM,7330947909
Annapurna Meals,Fry,Curry,20,11:30 AM - 2:00 PM,7330947909
Madeena Fast Food Centre,Veg Fried Rice,Rice,50,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Egg Fried Rice,Rice,60,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Chicken Fried Rice,Rice,70,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Veg Manchurian,Manchurian,60,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Egg Manchurian,Manchurian,70,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Chicken Manchurian,Manchurian,130,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Chicken Pakodi (1/4 Kg),Starter,100,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Chicken Joints,Starter,60,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Chilli Chicken,Starter,180,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Kichidi,Main Course,80,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Chicken Biriyani,Biriyani,180,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Joint Biriyani,Biriyani,180,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Joint Chicken,Starter,60,11:30 AM - 11:00 PM,7330947909
